1,cki86201,a/1/60,a/1/59,a/1/80,a/1/879,a/3/164,w/2/--,w/1/--,a/2/465,a/1/1520,a/4/273,a/1/1902,9/5402
2,jaydoubluel,a/6/171,a/1/82,a/1/96,w/1/--,a/6/1629,a/3/814,0/--,a/2/299,a/2/283,a/2/1784,a/1/2006,9/7164
3,koosaga,a/1/700,a/2/1376,a/2/741,a/1/1543,a/1/1385,w/1/--,0/--,a/3/530,a/2/1444,a/5/1428,0/--,8/9147
4,ainta,a/2/1535,a/3/1589,a/2/1582,a/3/2231,a/1/2208,0/--,0/--,a/5/2108,0/--,a/1/1940,0/--,7/13193
5,pps789,a/1/245,a/2/285,a/8/1752,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,3/2282
6,woqja125,a/3/996,a/1/1602,a/1/1919,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,3/4517
7,unused,a/4/160,0/--,a/3/1431,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,2/1591
8,hyperbolic,a/1/1497,w/2/--,a/1/2042,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,2/3539
9,kazel,0/--,a/2/99,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/99
10,doju,a/2/290,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/290
11,cycho21,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,qoohk,w/7/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,mendou12,w/3/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,jyuno426,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,inbo207,w/3/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,alohajihwan,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
11,qkqhxla1,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
