1,functionx,a/1/183,a/1/180,a/2/175,0/--,a/1/63,a/1/68,a/1/57,a/2/87,a/1/185,a/1/187,a/1/61,10/277
2,ho94949,a/1/415,a/1/415,0/--,0/--,a/2/421,a/1/422,a/1/416,a/2/410,a/2/419,a/1/399,a/1/397,9/557
3,shiftpsh,a/1/86,0/--,0/--,0/--,a/1/93,a/1/89,a/1/90,a/1/129,a/1/96,a/1/99,a/1/104,8/129
4,YunGoon,a/1/189,w/4/--,0/--,0/--,a/1/225,a/1/228,a/1/231,a/3/265,a/1/235,a/1/233,a/1/244,8/355
5,sky1357,a/1/68,0/--,0/--,0/--,a/1/229,a/1/78,a/1/89,a/13/638,a/1/217,a/2/110,a/1/328,8/1223
6,maveltoz,a/1/201,0/--,0/--,0/--,a/2/240,a/1/245,a/1/251,0/--,a/1/253,a/1/261,a/2/276,7/366
7,jhnah917,a/1/24,0/--,0/--,0/--,a/1/20,a/1/23,a/1/29,0/--,a/1/33,a/2/39,0/--,6/84
8,usj0119,a/1/360,0/--,0/--,0/--,a/1/364,a/1/366,a/1/369,0/--,a/2/372,a/1/380,0/--,6/425
9,jhjeong0702,a/1/632,0/--,0/--,0/--,a/2/671,a/1/638,a/1/651,0/--,a/1/651,a/1/646,0/--,6/716
10,bvba,w/2/--,0/--,0/--,0/--,a/10/248,a/3/165,a/1/174,0/--,a/1/229,a/1/214,a/1/283,6/778
11,ks9509,w/1/--,0/--,0/--,0/--,a/1/275,a/1/289,a/1/302,0/--,a/1/309,a/2/319,0/--,5/364
12,limhaksu,a/1/646,w/3/--,0/--,0/--,w/1/--,a/1/667,a/1/679,0/--,a/1/681,a/3/691,w/1/--,5/781
13,MenOfPassion,a/1/616,w/1/--,0/--,0/--,0/--,a/1/704,a/1/714,0/--,a/1/717,0/--,0/--,4/717
14,zzz845zz,a/1/281,w/2/--,0/--,0/--,w/6/--,a/1/306,a/1/339,0/--,0/--,0/--,0/--,3/339
15,anima94,a/4/599,0/--,0/--,0/--,0/--,a/1/522,a/1/675,0/--,0/--,0/--,0/--,3/810
16,clrmt,a/1/110,0/--,0/--,0/--,0/--,a/1/92,0/--,0/--,0/--,0/--,0/--,2/110
17,jaehoo1,a/1/236,0/--,0/--,0/--,0/--,0/--,0/--,0/--,a/1/201,0/--,0/--,2/236
18,lshy,w/1/--,0/--,0/--,0/--,a/1/365,a/3/349,0/--,0/--,0/--,0/--,0/--,2/455
19,tkffpstldh2,a/1/586,w/1/--,w/1/--,0/--,0/--,0/--,a/1/649,0/--,0/--,0/--,0/--,2/649
20,qawbecrdtey,0/--,0/--,0/--,0/--,0/--,a/1/47,0/--,0/--,0/--,0/--,0/--,1/47
21,sdrevn,0/--,0/--,0/--,0/--,0/--,a/1/268,0/--,0/--,0/--,0/--,0/--,1/268
22,min92706,0/--,0/--,0/--,0/--,0/--,a/1/307,0/--,0/--,0/--,0/--,0/--,1/307
23,kjj8032,0/--,0/--,0/--,0/--,0/--,a/3/223,0/--,0/--,0/--,0/--,0/--,1/313
24,yongseokjeon,0/--,0/--,0/--,0/--,a/2/324,0/--,0/--,0/--,0/--,0/--,0/--,1/369
25,julysky,a/1/380,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/380
26,pastarithm,a/1/414,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/414
27,csl0117,0/--,0/--,0/--,0/--,a/1/507,0/--,0/--,0/--,0/--,0/--,0/--,1/507
28,dwgbjdhks,0/--,0/--,0/--,0/--,0/--,a/1/567,0/--,0/--,0/--,0/--,0/--,1/567
29,gydbslove,a/1/598,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/598
30,tkdgns685,a/1/600,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/600
31,kjb4381,0/--,0/--,0/--,0/--,0/--,a/1/602,0/--,0/--,0/--,0/--,0/--,1/602
32,dongjae1031,0/--,0/--,0/--,0/--,0/--,a/7/364,0/--,0/--,0/--,0/--,0/--,1/634
33,sos0911,a/1/654,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1/654
34,dbsehdgus,0/--,0/--,0/--,0/--,a/8/414,0/--,0/--,0/--,0/--,0/--,0/--,1/729
35,cw20,0/--,0/--,0/--,0/--,0/--,a/4/653,0/--,0/--,0/--,0/--,0/--,1/788
36,jakeoneijk,0/--,0/--,0/--,0/--,a/11/464,0/--,0/--,0/--,0/--,0/--,0/--,1/914
37,chdnr5678,0/--,0/--,0/--,0/--,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,dkssudckdah,0/--,0/--,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,whitejcme,0/--,0/--,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,shinwoon,w/2/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,jwsnada,0/--,0/--,0/--,0/--,0/--,w/2/--,0/--,0/--,0/--,0/--,0/--,0/0
37,blueblue1234,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,bluejay94,0/--,0/--,0/--,0/--,w/16/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,jeun0241,0/--,0/--,0/--,0/--,w/1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,alsdnjsrl223,w/3/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
37,piuy11,w/3/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/0
