1,sslktong,a/100/1/0:22,a/100/1/2:53,a/100/4/2:52,300/6:07
2,pichulia,a/100/4/1:18,a/100/6/3:03,a/100/3/2:30,300/6:51
3,jh05013,a/100/1/0:41,0/--,a/100/5/4:27,200/5:08
4,ganghe74,a/100/1/0:10,0/--,a/100/4/11:32,200/11:42
5,upple1,a/100/2/8:44,p/43/3/10:15,p/30/2/10:30,173/29:29
6,ha_ram,a/100/1/1:35,p/43/3/3:33,0/--,143/5:08
7,minjunkweon,a/100/1/0:07,w/3/--,0/--,100/0:07
7,rkm0959,a/100/1/0:07,0/--,0/--,100/0:07
9,ho94949,a/100/1/0:13,0/--,0/--,100/0:13
9,kdh9949,a/100/1/0:13,0/--,0/--,100/0:13
11,impri,a/100/1/0:17,0/--,0/--,100/0:17
12,yclock,0/--,a/100/1/0:19,0/--,100/0:19
13,hellogaon,a/100/2/0:50,0/--,0/--,100/0:50
14,lovinix,a/100/1/1:02,w/1/--,0/--,100/1:02
15,jjang36524,a/100/1/1:10,w/1/--,0/--,100/1:10
16,ahgus89,a/100/2/1:42,0/--,0/--,100/1:42
17,cko301,a/100/3/1:52,0/--,0/--,100/1:52
18,juchan1220,a/100/1/1:53,0/--,0/--,100/1:53
19,silverlic,a/100/1/2:10,0/--,0/--,100/2:10
20,kyo20111,a/100/2/2:25,0/--,0/--,100/2:25
21,kipa00,a/100/1/2:39,0/--,0/--,100/2:39
22,dlaud5379,a/100/1/2:51,0/--,0/--,100/2:51
23,zvxc222,a/100/1/3:21,0/--,0/--,100/3:21
24,lgm9,a/100/1/3:22,0/--,0/--,100/3:22
25,cheetose,a/100/2/3:59,0/--,0/--,100/3:59
26,okt1995,a/100/1/4:05,0/--,w/1/--,100/4:05
27,Green55,a/100/3/4:39,0/--,0/--,100/4:39
28,aig0016,a/100/6/7:51,0/--,0/--,100/7:51
29,portableangel,a/100/1/8:39,0/--,0/--,100/8:39
30,yajungi,a/100/2/8:48,0/--,0/--,100/8:48
31,BaaaaaaaaaaarkingDog,a/100/1/8:58,0/--,0/--,100/8:58
32,klimmek55,a/100/2/9:29,0/--,0/--,100/9:29
33,hsunj2003,a/100/4/9:37,0/--,0/--,100/9:37
34,cs71107,a/100/6/12:12,0/--,0/--,100/12:12
35,lobo_prix,0/--,p/43/3/2:02,0/--,43/2:02
36,Lawali,0/--,p/43/14/14:37,0/--,43/14:37
37,eytns,w/4/--,0/--,0/--,0/0:00
37,skkiss98,w/1/--,0/--,0/--,0/0:00
