1,cki86201,a/100/3/2:54,p/20/1/3:17,a/100/10/17:32,a/100/1/1:56,a/100/15/9:59,0/--,a/100/3/1:32,a/100/2/1:42,620/17:32
2,alex9801,a/100/8/17:15,0/--,0/--,a/100/1/15:29,p/30/1/17:38,0/--,a/100/3/14:54,a/100/2/15:02,430/17:38
3,pichulia,a/100/17/9:10,0/--,p/30/5/12:00,a/100/3/12:08,0/--,0/--,a/100/7/21:34,a/100/1/10:24,430/21:34
4,tlwpdus,a/100/3/13:00,0/--,0/--,a/100/2/0:52,0/--,0/--,a/100/2/11:59,a/100/3/0:23,400/13:00
5,jhuni,w/2/--,0/--,0/--,a/100/1/2:35,0/--,a/100/4/23:59,0/--,a/100/3/0:37,300/23:59
6,stonejjun03,0/--,p/17/2/23:03,0/--,a/100/25/13:19,0/--,0/--,p/10/1/22:26,a/100/2/0:09,227/23:03
7,kdh9949,0/--,p/20/1/0:43,0/--,a/100/6/0:55,0/--,0/--,0/--,a/100/1/0:59,220/0:59
8,gratus907,p/10/1/2:54,w/1/--,0/--,a/100/2/1:49,0/--,0/--,0/--,a/100/1/1:24,210/2:54
9,coffeetea,w/2/--,0/--,0/--,a/100/9/16:57,0/--,0/--,p/10/1/17:23,a/100/1/14:20,210/17:23
10,fearful,0/--,0/--,0/--,0/--,0/--,0/--,a/100/2/0:13,a/100/10/0:24,200/0:24
11,BaaaaaaaaaaarkingDog,0/--,0/--,0/--,a/100/1/3:05,0/--,0/--,0/--,a/100/25/2:36,200/3:05
12,mhkim4886,0/--,0/--,0/--,a/100/1/7:16,0/--,w/13/--,0/--,a/100/2/7:02,200/7:16
13,chas0612,0/--,0/--,0/--,0/--,0/--,0/--,a/100/1/9:24,a/100/15/10:00,200/10:00
14,functionx,0/--,0/--,0/--,a/100/13/12:52,0/--,0/--,0/--,a/100/2/11:42,200/12:52
15,doju,a/100/3/1:57,0/--,a/100/1/13:11,0/--,0/--,0/--,0/--,0/--,200/13:11
16,ahgus89,0/--,p/17/1/1:32,0/--,p/30/2/0:55,0/--,0/--,0/--,a/100/3/0:10,147/1:32
17,queued_q,p/5/2/15:47,0/--,w/3/--,p/30/1/1:50,0/--,0/--,p/10/1/1:30,a/100/2/2:12,145/15:47
18,kyaryunha_cpp,w/1/--,0/--,0/--,0/--,0/--,0/--,p/10/2/0:45,a/100/17/0:17,110/0:45
19,portableangel,0/--,0/--,0/--,0/--,0/--,0/--,0/--,a/100/2/0:43,100/0:43
20,eaststar,0/--,0/--,0/--,0/--,0/--,0/--,0/--,a/100/2/0:50,100/0:50
21,hws0728,0/--,0/--,0/--,0/--,0/--,0/--,0/--,a/100/1/10:08,100/10:08
22,ho94949,0/--,0/--,a/100/7/16:01,0/--,0/--,0/--,0/--,0/--,100/16:01
23,ydk1104,0/--,0/--,0/--,p/30/1/20:56,0/--,0/--,0/--,0/--,30/20:56
24,cs71107,0/--,0/--,0/--,p/30/1/22:52,0/--,0/--,0/--,0/--,30/22:52
25,jhnah917,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/1/--,0/0:00
25,akaishuichi,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/1/--,0/0:00
25,cbkpar,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/3/--,0/0:00
25,whsim,0/--,0/--,0/--,w/10/--,0/--,0/--,0/--,0/--,0/0:00
25,ks9509,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/3/--,0/0:00
25,yoonjin67,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/1/--,0/0:00
25,kiki7000,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/1/--,0/0:00
25,chlghgus10,0/--,0/--,0/--,0/--,0/--,0/--,0/--,w/1/--,0/0:00
